created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2020-01-28 00:19:05 EAT,1,508,2480.47,-0.20,,,,,
2020-01-28 00:19:31 EAT,2,487,2377.93,-1.22,,,,,
2020-01-28 00:19:57 EAT,3,508,2480.47,-0.20,,,,,
2020-01-28 00:20:24 EAT,4,507,2475.59,-0.24,,,,,
2020-01-28 00:20:50 EAT,5,508,2480.47,-0.20,,,,,
2020-01-28 00:21:17 EAT,6,507,2475.59,-0.24,,,,,
2020-01-28 00:21:43 EAT,7,508,2480.47,-0.20,,,,,
2020-01-28 00:22:09 EAT,8,509,2485.35,-0.15,,,,,
2020-01-28 00:23:07 EAT,9,501,2446.29,-0.54,,,,,
2020-01-28 00:23:39 EAT,10,503,2456.05,-0.44,,,,,
2020-01-28 00:24:11 EAT,11,484,2363.28,-1.37,,,,,
2020-01-28 00:24:44 EAT,12,501,2446.29,-0.54,,,,,
2020-01-28 00:29:04 EAT,13,510,164,0,,,,,
2020-01-28 00:29:31 EAT,14,501,162,1,,,,,
2020-01-28 00:29:57 EAT,15,507,837,2,,,,,
2020-01-28 00:30:23 EAT,16,498,164,2,,,,,
2020-01-28 00:31:13 EAT,17,488,164,0,,,,,
2020-01-28 00:31:39 EAT,18,502,175,0,,,,,
2020-01-28 00:32:05 EAT,19,510,164,0,,,,,
2020-01-28 00:32:31 EAT,20,509,175,0,,,,,
2020-01-28 00:32:57 EAT,21,508,164,0,,,,,
2020-01-28 00:33:23 EAT,22,507,164,0,,,,,
2020-01-28 00:33:49 EAT,23,508,163,0,,,,,
2020-01-28 00:34:15 EAT,24,508,164,0,,,,,
2020-01-28 00:34:53 EAT,25,503,165,0,,,,,
2020-01-28 00:35:17 EAT,26,502,169,0,,,,,
2020-01-28 00:37:07 EAT,27,510,162,0,,,,,
2020-01-28 00:37:31 EAT,28,510,175,0,,,,,
2020-01-28 00:37:55 EAT,29,508,166,0,,,,,
2020-01-28 00:38:18 EAT,30,502,171,0,,,,,
2020-01-28 08:37:05 EAT,31,510,203,0,,,,,
2020-01-28 08:37:28 EAT,32,511,178,0,,,,,
2020-01-28 08:37:53 EAT,33,510,212,0,,,,,
2020-01-28 08:38:16 EAT,34,510,231,0,,,,,
2020-01-28 08:38:40 EAT,35,503,198,0,,,,,
2020-01-28 08:39:04 EAT,36,509,182,0,,,,,
2020-01-28 08:39:28 EAT,37,494,186,0,,,,,
2020-01-28 08:39:52 EAT,38,509,178,0,,,,,
2020-01-28 08:40:16 EAT,39,509,187,0,,,,,
2020-01-28 08:40:40 EAT,40,509,160,0,,,,,
2020-01-28 08:41:04 EAT,41,510,160,0,,,,,
2020-01-28 08:41:28 EAT,42,509,161,0,,,,,
2020-01-28 08:41:52 EAT,43,511,168,0,,,,,
2020-01-28 08:42:16 EAT,44,510,161,0,,,,,
2020-01-28 08:42:39 EAT,45,510,137,0,,,,,
2020-01-28 08:43:03 EAT,46,496,140,0,,,,,
2020-01-28 08:43:27 EAT,47,510,154,0,,,,,
2020-01-28 08:43:51 EAT,48,509,183,0,,,,,
